"year","ssb0","ssb","rec","f","catch","exploit","LRP","ratio","run"
2018,51674.0997094006,45515.6709547367,68241.3269645106,1.26188116518906,24039.5130184297,46.5213968963573,47206.9880858577,0.964172314318276,"2020"
2019,35996.6314011187,31706.6158780934,76305.6335203558,1.330965173719,17045.1545045425,47.3520822395975,47206.9880858577,0.671650896694087,"2020"
2020,31333.380109224,27599.1227127598,75851.8486011328,1.33863199966046,14672.3774426049,46.8266666138759,47206.9880858577,0.584640618515291,"2020"
1969,406549.00755464,353083.467742499,146683.479562086,0.142378362762971,31701.8089372281,7.79778288672059,42449.6668316318,8.31769703029555,"2022"
1970,371623.917452913,322751.400279072,263498.575450058,0.14495591375958,32189.7905218522,8.66192648268685,42449.6668316318,7.60315508621543,"2022"
1971,324097.983179644,281475.634334291,110158.94877988,0.154603086869734,34625.6545487082,10.6836994815594,42449.6668316318,6.63080903439616,"2022"
1972,267047.813505975,231928.171742172,169248.248298755,0.17001099711577,34392.0577293437,12.8786142368375,42449.6668316318,5.46360405282023,"2022"
1973,203352.468978768,176609.445815392,245333.797014801,0.311811460521658,43894.6185148683,21.5854858981089,42449.6668316318,4.16044362646892,"2022"
1974,191123.989947005,165989.142477987,378385.378612951,0.442614898095184,50601.4475782841,26.475717460856,42449.6668316318,3.91025783868575,"2022"
1975,200909.656570592,174487.889348408,539011.043915413,0.393776093747822,41949.2432023299,20.8796550242425,42449.6668316318,4.11046546114202,"2022"
1976,269290.664460387,233876.063823809,285309.747628139,0.307790909445485,38303.3998384162,14.2238127397286,42449.6668316318,5.50949115222582,"2022"
1977,307283.60231924,266872.524274217,114748.648518584,0.225713169994096,34193.1031708632,11.1275391569185,42449.6668316318,6.2867990303131,"2022"
1978,277800.047620487,241266.372147497,147912.22963789,0.227518693912036,36590.6638313057,13.1715829945765,42449.6668316318,5.68358694320104,"2022"
1979,229290.746247992,199136.562387563,200701.98740157,0.252116882816696,35543.1155237398,15.5013301257687,42449.6668316318,4.69112191568898,"2022"
1980,196039.414412458,170258.136088689,65413.7112103261,0.28486442043422,34142.3815678619,17.4160801643837,42449.6668316318,4.01082384848825,"2022"
1981,155272.153395676,134852.205628425,215431.97960491,0.314300507998114,31149.3981731149,20.0611619610489,42449.6668316318,3.17675533622655,"2022"
1982,148990.070959684,129396.284177563,431715.66934338,0.32293354025767,27924.4995892791,18.7425238537105,42449.6668316318,3.04822849825389,"2022"
1983,208866.90876397,181398.67782884,974763.414833008,0.261114924548327,24139.3013435524,11.5572646171687,42449.6668316318,4.27326505407739,"2022"
1984,394550.402757697,342662.807721071,119310.023652995,0.204314569819553,35421.980603461,8.97780875545436,42449.6668316318,8.07221430217992,"2022"
1985,525735.833960668,456595.9525713,386260.702927885,0.196944891752795,47056.7513980865,8.95064562055455,42449.6668316318,10.7561728195017,"2022"
1986,498110.957046938,432604.042234762,182562.553813974,0.188542693293059,48786.1856516345,9.79424061274709,42449.6668316318,10.1909879281409,"2022"
1987,441535.257001445,383468.651443438,157658.183687851,0.17963222231779,52156.4762392715,11.8125280851809,42449.6668316318,9.03349025009761,"2022"
1988,391725.004313539,340208.979371031,528291.818781948,0.173089402944625,46436.886594903,11.8544606761264,42449.6668316318,8.01440870479391,"2022"
1989,418101.739440061,363116.891905896,515835.263940308,0.162321587877445,45208.3550902477,10.8127641733308,42449.6668316318,8.55405752290419,"2022"
1990,433901.825526648,376839.097796,230569.815773178,0.190833318252131,49993.6044876003,11.5218700513464,42449.6668316318,8.87731579356461,"2022"
1991,380682.618565302,330618.785373045,285107.708844168,0.221774413083264,50893.0590405106,13.3688948637355,42449.6668316318,7.78848952300095,"2022"
1992,328682.888980283,285457.576017286,226185.887986092,0.255253786215802,49997.3165618559,15.2114144782436,42449.6668316318,6.72461287268749,"2022"
1993,264303.287331703,229544.580094142,59164.0327887775,0.291641439566329,47973.4533408554,18.15091057897,42449.6668316318,5.40745304326144,"2022"
1994,203660.280190565,176876.776562858,190160.17737922,0.379243653495534,46999.3528132497,23.0773289564723,42449.6668316318,4.16674122000543,"2022"
1995,160270.883124391,139193.54896988,203279.283468734,0.400546776379436,38904.8868481279,24.2744571501067,42449.6668316318,3.27902571113134,"2022"
1996,142320.960807147,123604.23329155,182644.052207795,0.59294497473627,46372.6519435587,32.583149861106,42449.6668316318,2.91178335466806,"2022"
1997,124561.31525003,108180.170945655,233169.57743482,0.807778877941859,47836.304396184,38.4038208814374,42449.6668316318,2.54843392233748,"2022"
1998,110000.683462982,95534.417867038,108407.403694498,0.989229964105706,41021.7912944538,37.2923058321349,42449.6668316318,2.2505339852479,"2022"
1999,87864.5490933253,76309.421764688,123908.317900272,1.2368697700694,41035.9894415785,46.7036932016713,42449.6668316318,1.79764477463049,"2022"
2000,78039.6663699787,67776.6161307784,393781.940106585,1.31577271210778,34548.8687174828,44.2709077633545,42449.6668316318,1.59663481929319,"2022"
2001,111509.050303108,96844.4183458065,97525.3269529014,0.987697162557308,35294.0154539658,31.6512564298848,42449.6668316318,2.2813940738315,"2022"
2002,163247.223288806,141778.468590651,105526.672024603,0.793473684726522,50818.6629747472,31.1298789351181,42449.6668316318,3.33991946634085,"2022"
2003,169245.109301733,146987.568485659,254557.692850857,0.762005741455346,63916.5162928769,37.7656503969786,42449.6668316318,3.46263185218052,"2022"
2004,163368.784808744,141884.043471431,404847.864091874,0.866685317629107,73051.7076305784,44.7158297199186,42449.6668316318,3.34240652663273,"2022"
2005,163831.688510316,142286.070388591,181911.25539262,1.05476074043491,71043.6561267237,43.3638063385095,42449.6668316318,3.35187719971846,"2022"
2006,136916.035853592,118910.113738859,322497.756015401,1.14509046818816,72657.9452885029,53.0675204226612,42449.6668316318,2.80120252087001,"2022"
2007,130329.624323629,113189.885722644,88896.8544780126,1.11241532174806,65473.9465602531,50.2371942680286,42449.6668316318,2.66644933095916,"2022"
2008,101279.990322182,87960.5890836581,184925.800785591,1.05016909747507,50691.1387407022,50.0504972200813,42449.6668316318,2.07211494574354,"2022"
2009,87127.0086281956,75668.8757537785,188133.067249759,1.451947456141,52515.9857889198,60.2752081309548,42449.6668316318,1.78255523309297,"2022"
2010,67957.6863100984,59020.5242080234,47629.0728134799,2.02802701609719,46343.7305485461,68.1949799424816,42449.6668316318,1.3903648394254,"2022"
2011,35101.6143486905,30485.3768851712,116290.963502855,2.15676919849038,23127.0341498209,65.885955899586,42449.6668316318,0.718153501795089,"2022"
2012,31358.5072275603,27234.5283579302,68394.955499477,1.58318130465603,15912.3694990811,50.7433896122965,42449.6668316318,0.64157225228529,"2022"
2013,34631.8552206782,30077.3961034201,53494.845753456,1.24993746055275,14438.1854103188,41.6904763499298,42449.6668316318,0.708542571670024,"2022"
2014,34302.554629551,29791.4020596904,71764.3414976104,1.04856751254129,14666.1980648225,42.7554105611361,42449.6668316318,0.701805321060636,"2022"
2015,31883.8243383646,27690.7606539157,95754.2529065325,1.04909612197577,13254.0594246562,41.5698546196923,42449.6668316318,0.652319858333532,"2022"
2016,33559.6017766023,29146.1554478092,172155.804541207,1.03213757982078,14496.804036107,43.1971872986113,42449.6668316318,0.686605046004522,"2022"
2017,48183.8287759631,41847.1402885945,38444.9427680422,1.02770713373161,16254.5946228543,33.7345433847361,42449.6668316318,0.985806094888162,"2022"
2018,51098.1691445917,44378.2137493975,69146.3639877429,0.934799220017826,17170.6519773014,33.6032626310229,42449.6668316318,1.04543137936547,"2022"
2019,38424.7188933867,33371.4576638938,29826.5105165508,0.950295293328497,14510.2752749824,37.7628664382494,42449.6668316318,0.786141804039477,"2022"
2020,27570.8405597261,23944.9803406426,40726.632946943,0.929962343034528,11412.0235286689,41.3916416655753,42449.6668316318,0.564079346856023,"2022"
2021,19436.1280369914,16880.0694609144,51982.2854098832,0.78197825192764,6742.04353444205,34.6882029260684,42449.6668316318,0.3976490446407,"2022"
2022,20321.1125452107,17648.6690473209,39919.2570411302,0.421665635638629,3302.32578125602,16.2507135074861,42449.6668316318,0.415755184070604,"2022"
1969,396327.158556237,344205.901141599,153126.160723545,0.15187572388608,31755.4128983158,8.01242413313191,43062.0807176994,7.99324824543657,"2022retro"
1970,362293.146485007,314647.725423546,264458.927143078,0.154120708012393,32419.8994303426,8.94852683383129,43062.0807176994,7.3068398038235,"2022retro"
1971,317993.967531929,276174.361985815,114418.348964829,0.162693233212724,34521.7813156607,10.8561120148276,43062.0807176994,6.41340031375451,"2022retro"
1972,261725.960457549,227306.199251188,177858.684368207,0.176654136717296,34433.5629656679,13.1563421929835,43062.0807176994,5.27856981044021,"2022retro"
