year,age,caan,caaw,waa,waa.sd,laa,laa.sd,zero,waa.interpol,note
1986,6,535.0459023,317.120235,0.59269725,0.093706712,372.7868602,16.81672731,FALSE,0.59269725,new
1986,7,217.155699,163.6471192,0.753593481,0.069844262,401.1693445,10.08507832,FALSE,0.753593481,new
1986,8,245.3419199,199.1075065,0.811551106,0.069232886,410.3975377,10.98266419,FALSE,0.811551106,new
1986,9,76.37087242,63.32410679,0.829165686,0.053947658,412.9744599,7.492361224,FALSE,0.829165686,new
1986,10,751.4723575,641.3678494,0.853481626,0.083527362,416.4634527,11.9722601,FALSE,0.853481626,new
1987,1,1811.644451,384.9090715,0.212463914,0.038498608,275.4334962,14.61662781,FALSE,0.212463914,new
1987,2,5615.518792,1730.891111,0.308233518,0.048509598,306.6391261,13.70098536,FALSE,0.308233518,new
1987,3,8866.47158,3631.588446,0.409586656,0.047363961,333.0401142,11.12621533,FALSE,0.409586656,new
1987,4,2833.713403,1323.622172,0.467098109,0.058321454,345.7766968,12.44225879,FALSE,0.467098109,new
1987,5,35731.28007,17483.60674,0.489308155,0.056763379,350.9400977,11.79515664,FALSE,0.489308155,new
1987,6,4405.088215,2528.888534,0.574083517,0.093151677,367.8720077,17.62319608,FALSE,0.574083517,new
1987,7,167.9571579,103.1688087,0.614256695,0.128815891,374.2248897,20.7809809,FALSE,0.614256695,new
1987,8,112.8619801,85.77319783,0.759983103,0.106883381,401.6446632,16.28632436,FALSE,0.759983103,new
1987,9,50.08500403,45.70613154,0.912571186,0.10087723,420.0330703,12.39899275,FALSE,0.912571186,new
1987,10,269.1826427,240.8283411,0.894665193,0.092076655,420.2892311,9.649308954,FALSE,0.894665193,new
1988,1,25187.34428,3212.526756,0.127545275,0.019412428,234.2627491,9.400829567,FALSE,0.127545275,new
1988,2,1981.064203,710.3344561,0.358562057,0.05691791,315.7346889,16.74349992,FALSE,0.358562057,new
1988,3,1895.810408,823.3620224,0.434306099,0.056512746,335.5178577,12.93970588,FALSE,0.434306099,new
1988,4,2715.571065,1318.969022,0.485705949,0.051216595,348.2867664,10.50742737,FALSE,0.485705949,new
1988,5,2635.488419,1387.891021,0.526616247,0.05658035,357.4076842,11.04864699,FALSE,0.526616247,new
1988,6,26504.56928,14805.32337,0.558595132,0.067600514,362.5807688,11.88188486,FALSE,0.558595132,new
1988,7,3466.353848,2181.329265,0.62928638,0.088987844,376.7002822,14.83157806,FALSE,0.62928638,new
1988,8,180.0612881,128.6422887,0.714436124,0.145310309,391.7376204,21.16488144,FALSE,0.714436124,new
1988,9,95.5454417,81.88236612,0.85699919,0.251625465,418.6924951,33.98381301,FALSE,0.85699919,new
1988,10,416.7824001,365.7706452,0.877605785,0.098287118,417.6704274,10.5027192,FALSE,0.877605785,new
1989,1,6972.853404,1084.882962,0.155586659,0.041472804,248.5700354,18.38273415,FALSE,0.155586659,new
1989,2,13160.78025,4141.160302,0.314659178,0.077193712,303.6986117,20.70074905,FALSE,0.314659178,new
1989,3,1653.108604,756.2327424,0.457461017,0.083060797,339.1257307,17.85407531,FALSE,0.457461017,new
1989,4,966.108639,516.2463466,0.534356413,0.076374292,356.1945396,14.22135691,FALSE,0.534356413,new
1989,5,1056.679549,647.1445088,0.612432132,0.085741178,369.626887,12.65983249,FALSE,0.612432132,new
1989,6,603.1202797,384.0608056,0.636789739,0.09308829,375.5537382,15.99876036,FALSE,0.636789739,new
1989,7,16673.71794,11018.52104,0.66083168,0.093393144,379.1358117,15.1201107,FALSE,0.66083168,new
1989,8,2036.097909,1579.70856,0.775850981,0.107975213,398.7966557,15.7000889,FALSE,0.775850981,new
1989,9,277.0584763,228.7190606,0.825526306,0.075726321,408.255526,10.01797416,FALSE,0.825526306,new
1989,10,865.8734544,785.2795794,0.906921878,0.122518988,424.0310267,14.44999508,FALSE,0.906921878,new
1990,1,668.0477978,181.0358616,0.270992378,0.050154031,293.1037792,15.47986323,FALSE,0.270992378,new
1990,2,10057.37164,2963.399409,0.294649489,0.055985701,300.3110158,15.77335356,FALSE,0.294649489,new
1990,3,9736.24368,3890.102519,0.399548599,0.090306112,327.664195,21.33074269,FALSE,0.399548599,new
1990,4,1869.875579,1041.574045,0.55702853,0.101988331,363.6924079,20.26257833,FALSE,0.55702853,new
1990,5,1335.585288,819.2760122,0.613420962,0.092812719,375.5470142,15.16195905,FALSE,0.613420962,new
1990,6,1141.77289,728.4213999,0.637973985,0.085149241,379.7612985,14.05033725,FALSE,0.637973985,new
1990,7,790.2144387,535.2012151,0.677286049,0.063024774,388.826264,10.38235995,FALSE,0.677286049,new
1990,8,17873.55201,11945.41952,0.668329357,0.09387417,385.8825753,13.23745449,FALSE,0.668329357,new
1990,9,1096.991332,790.4914011,0.720599496,0.111993129,396.5158951,15.83302007,FALSE,0.720599496,new
1990,10,173.164217,152.0218589,0.877905733,0.158423967,417.253287,19.45534139,FALSE,0.877905733,new
1991,1,2095.408272,481.2678461,0.229677363,0.048137101,280.826172,15.79091279,FALSE,0.229677363,new
1991,2,8071.950255,2637.759215,0.326780906,0.041084362,312.838158,11.89450921,FALSE,0.326780906,new
1991,3,16474.4459,6383.551922,0.387482041,0.049679746,329.6572766,12.4086271,FALSE,0.387482041,new
1991,4,8833.2002,4146.033634,0.469369372,0.061465278,349.4789842,13.37996638,FALSE,0.469369372,new
1991,5,1124.458066,653.9138165,0.581536863,0.071848968,373.3087364,11.75194679,FALSE,0.581536863,new
1991,6,1058.58039,657.8396306,0.621435686,0.066800753,381.2219265,10.9704875,FALSE,0.621435686,new
1991,7,1289.143926,819.2136254,0.635471035,0.082352513,383.0897598,12.67732697,FALSE,0.635471035,new
1991,8,1006.178249,713.3756241,0.708995275,0.084985899,394.0917464,12.05884293,FALSE,0.708995275,new
1991,9,12391.93239,8592.599286,0.693402692,0.105555918,392.7861867,14.7175316,FALSE,0.693402692,new
1991,10,476.5955923,425.4567287,0.892699671,0.385701739,419.0472446,46.56120762,FALSE,0.892699671,new
1992,1,4772.747862,776.5526248,0.162705562,0.023946632,255.26422,11.40419488,FALSE,0.162705562,new
1992,2,9503.245476,2626.933619,0.276424894,0.046201914,298.7446472,15.48871554,FALSE,0.276424894,new
1992,3,5504.583484,2163.661254,0.39306539,0.048401237,332.0519703,12.38976364,FALSE,0.39306539,new
1992,4,16736.37884,7470.956141,0.446390238,0.048389741,344.9023201,10.73640264,FALSE,0.446390238,new
1992,5,9205.092327,4685.599367,0.509022528,0.054301546,358.7746837,11.15693248,FALSE,0.509022528,new
1992,6,1356.709024,787.3960488,0.580372088,0.072227662,372.3710503,13.68032946,FALSE,0.580372088,new
1992,7,552.3153755,337.225644,0.610567185,0.057443716,379.1853752,10.87128515,FALSE,0.610567185,new
1992,8,978.257446,676.7284903,0.691769322,0.063927597,393.0493818,10.03057933,FALSE,0.691769322,new
1992,9,655.3463856,447.2305402,0.682433824,0.078351593,391.5800949,12.64178753,FALSE,0.682433824,new
1992,10,9294.059103,6588.013365,0.708841346,0.08826913,395.5403399,13.68608789,FALSE,0.708841346,new
1993,1,70.38333355,12.19954448,0.173330018,0.019595532,258.7349045,8.857116097,FALSE,0.173330018,new
1993,2,2088.265135,605.683061,0.290041265,0.034368851,302.737324,10.80992393,FALSE,0.290041265,new
1993,3,6432.228846,2405.233488,0.373934688,0.051882037,326.2926073,12.97948806,FALSE,0.373934688,new
1993,4,5499.056639,2515.856758,0.457506973,0.048825308,346.6947016,10.82569527,FALSE,0.457506973,new
1993,5,18945.78019,9160.939834,0.483534578,0.049828861,352.491551,10.19409931,FALSE,0.483534578,new
1993,6,9796.780742,5291.011979,0.540076594,0.071284521,364.1307702,13.09980648,FALSE,0.540076594,new
1993,7,1817.711292,1086.117561,0.597519291,0.069650277,375.4536512,12.43510853,FALSE,0.597519291,new
1993,8,714.2200679,463.1179238,0.648424687,0.083647486,384.3448589,14.59690051,FALSE,0.648424687,new
1993,9,681.3486133,469.9814244,0.689781142,0.09882765,392.2650195,15.68538285,FALSE,0.689781142,new
1993,10,6795.989198,4837.834279,0.711866093,0.086824896,395.3486117,13.52348422,FALSE,0.711866093,new
1994,1,2311.258259,552.5430107,0.239065889,0.038656254,284.4322389,14.20574454,FALSE,0.239065889,new
1994,2,1314.610846,454.1218113,0.345442009,0.090828416,317.3068888,21.25841012,FALSE,0.345442009,new
1994,3,9949.44788,3710.592709,0.372944585,0.053181455,325.6620476,13.09533688,FALSE,0.372944585,new
1994,4,9355.42642,4259.940457,0.455344339,0.050871602,345.7391185,10.99575375,FALSE,0.455344339,new
1994,5,2683.491755,1435.310751,0.534866838,0.063570257,361.6613061,11.51412615,FALSE,0.534866838,new
1994,6,11968.67711,6302.962443,0.526621479,0.065405686,361.0142954,11.77020357,FALSE,0.526621479,new
1994,7,3754.246586,2196.073142,0.584957086,0.06995037,371.5364344,11.91965363,FALSE,0.584957086,new
1994,8,550.4373873,348.7644917,0.633613377,0.100506274,381.5357659,15.99842669,FALSE,0.633613377,new
1994,9,338.0214051,234.5092697,0.693770472,0.087438812,390.2405142,13.18495575,FALSE,0.693770472,new
1994,10,1522.737369,1101.372596,0.723284671,0.097419725,395.3738872,13.60311483,FALSE,0.723284671,new
1995,1,8310.189776,1644.037372,0.197833914,0.045051393,265.9112158,17.78442582,FALSE,0.197833914,new
1995,2,7697.204015,2584.61763,0.335786556,0.064650646,310.2068543,18.31053626,FALSE,0.335786556,new
1995,3,1089.416099,490.5411622,0.450278973,0.061224857,340.4957003,13.62951389,FALSE,0.450278973,new
1995,4,8018.338811,3812.925262,0.475525586,0.061348572,345.7531251,11.86454088,FALSE,0.475525586,new
1995,5,5813.853487,2994.745755,0.51510513,0.068016245,354.1461523,12.4163245,FALSE,0.51510513,new
1995,6,1607.001397,956.9389036,0.595481065,0.068978371,370.0824446,11.41759918,FALSE,0.595481065,new
1995,7,5626.79982,3387.555652,0.602039482,0.072219256,371.1813537,11.60637355,FALSE,0.602039482,new
1995,8,1980.665325,1280.944247,0.646724225,0.08644906,377.9885911,12.76261789,FALSE,0.646724225,new
1995,9,254.904126,184.3313866,0.723140067,0.134682347,387.8062318,17.10422923,FALSE,0.723140067,new
1995,10,443.1795438,351.5018258,0.793136395,0.089768894,402.1708986,11.2505827,FALSE,0.793136395,new
1996,1,3950.130379,813.6190603,0.20597271,0.053549792,269.3268431,17.81516924,FALSE,0.20597271,new
1996,2,8875.420071,2868.461412,0.323191622,0.063727809,306.8744755,16.20686324,FALSE,0.323191622,new
1996,3,8578.106509,3817.926492,0.445078,0.073198807,336.379369,15.55522296,FALSE,0.445078,new
1996,4,1026.591088,550.2366856,0.53598428,0.071344685,355.3668364,12.75844529,FALSE,0.53598428,new
1996,5,5771.983537,3203.784887,0.55505787,0.075553168,360.7752107,12.38112847,FALSE,0.55505787,new
1996,6,6352.113514,3815.305446,0.60063559,0.082010363,368.4138196,12.52136273,FALSE,0.60063559,new
1996,7,1234.313294,795.4851656,0.644475895,0.086048023,377.6539853,11.96333974,FALSE,0.644475895,new
1996,8,5106.165245,3405.766889,0.666991123,0.094815039,380.6619123,13.54261328,FALSE,0.666991123,new
1996,9,1140.367977,816.0639556,0.715614584,0.08713611,388.6407131,10.36216923,FALSE,0.715614584,new
1996,10,336.7703316,271.2170696,0.805347277,0.117315315,400.6941322,13.16285201,FALSE,0.805347277,new
1997,1,8943.157181,1955.284682,0.218634722,0.036703197,272.8743814,13.68093198,FALSE,0.218634722,new
1997,2,13842.88217,4854.80914,0.350707972,0.062099443,311.5703494,16.12187113,FALSE,0.350707972,new
1997,3,9997.416338,4470.866705,0.447202212,0.062808941,335.941345,12.39906928,FALSE,0.447202212,new
1997,4,4822.035581,2530.026828,0.524680249,0.078793124,353.7462985,14.79021238,FALSE,0.524680249,new
1997,5,773.1187566,458.7613177,0.59339049,0.064047362,368.1292508,11.81443086,FALSE,0.59339049,new
1997,6,3583.123718,2116.574332,0.590706461,0.087928935,369.5949308,13.73006435,FALSE,0.590706461,new
1997,7,2895.596244,1862.62682,0.643261927,0.095270551,378.5319058,13.52166843,FALSE,0.643261927,new
1997,8,660.2304313,490.7271274,0.743266448,0.111391869,391.2495308,15.66268534,FALSE,0.743266448,new
1997,9,3285.469547,2312.266111,0.703785586,0.105393252,389.514956,12.08594742,FALSE,0.703785586,new
1997,10,481.4188981,358.119793,0.743883953,0.125296854,393.9504027,14.87116817,FALSE,0.743883953,new
1998,1,2308.711063,357.0184639,0.154639734,0.051590317,248.2615618,23.28592508,FALSE,0.154639734,new
1998,2,22532.39278,5495.432856,0.243890336,0.058359319,286.4536638,17.98121278,FALSE,0.243890336,new
1998,3,10384.33991,4133.636205,0.398064416,0.057605691,330.6270786,13.21728313,FALSE,0.398064416,new
1998,4,8601.978339,4347.323322,0.505386453,0.05685207,355.7654727,11.33078353,FALSE,0.505386453,new
1998,5,3292.970713,1873.68343,0.568994866,0.064128058,367.8299029,12.13622945,FALSE,0.568994866,new
1998,6,267.8449295,166.0637685,0.619999672,0.082380917,378.2313032,14.14776303,FALSE,0.619999672,new
1998,7,1602.987688,1054.421918,0.657785413,0.074575668,384.4419802,12.04644554,FALSE,0.657785413,new
1998,8,1271.610572,840.3230943,0.660833681,0.08190243,384.8835347,14.05441743,FALSE,0.660833681,new
1998,9,245.9419676,174.5733317,0.709815138,0.06414423,393.7201195,10.01628493,FALSE,0.709815138,new
1998,10,1040.641156,743.0374166,0.714018865,0.076749068,395.8800766,12.25146415,FALSE,0.714018865,new
1999,1,2116.720239,401.2344479,0.189554784,0.045241381,263.1435269,17.60474215,FALSE,0.189554784,new
1999,2,7213.058249,2002.925781,0.277680522,0.065526763,294.0574699,18.08311311,FALSE,0.277680522,new
1999,3,15842.60665,6468.663697,0.408308042,0.072032086,328.9110685,14.50714535,FALSE,0.408308042,new
1999,4,7631.407422,3649.171964,0.478178108,0.067818147,346.9550945,11.83834291,FALSE,0.478178108,new
1999,5,3981.859,2177.260779,0.546795047,0.072370758,362.4874229,11.95231632,FALSE,0.546795047,new
1999,6,1396.545446,840.9928207,0.602195097,0.083134869,373.3465112,12.45284887,FALSE,0.602195097,new
1999,7,231.449927,154.2878785,0.666614505,0.08129831,384.6833163,10.37674666,FALSE,0.666614505,new
1999,8,529.3020435,352.174967,0.665357278,0.086751189,385.6331945,12.88801562,FALSE,0.665357278,new
1999,9,495.6589511,350.7379717,0.707619566,0.095838623,390.3907033,12.33413497,FALSE,0.707619566,new
