"year","age","Estimate","Low","High"
"1975","6",26230.56535705,14503.2356678487,47440.6246101171
"1975","7",17011.1369361707,8425.46470920307,34345.7352026015
"1975","8",18083.2684617538,8970.19085711582,36454.58647075
"1975","9",5685.67785230483,2274.09376013386,14215.3033471614
"1975","10",5788.70176976148,2366.93595665064,14157.1503382192
"1976","1",246255.615537667,95784.954325375,633103.900408397
"1976","2",478617.131407771,220231.71207568,1040151.5581838
"1976","3",213066.64775891,113232.291113844,400922.704474617
"1976","4",43848.5582090942,23284.325550372,82574.6939870286
"1976","5",25243.6474172902,13361.428382461,47692.6355991209
"1976","6",13315.1083020448,6829.89099994485,25958.2633305003
"1976","7",14209.6586469277,6767.75847156894,29834.7524827374
"1976","8",8829.31894311654,3812.3290016922,20448.6215551369
"1976","9",8257.81065736564,3495.09187516878,19510.6278428256
"1976","10",5059.74792415553,1960.33565832593,13059.5232236191
"1977","1",81542.7034332732,30748.4801191002,216245.240657486
"1977","2",188999.974444242,84362.5948350812,423422.138801617
"1977","3",391108.643328868,214546.997370048,712971.855871347
"1977","4",126773.3050556,70206.2782197347,228917.858662427
"1977","5",25167.9295504881,13315.3106154579,47571.1529495213
"1977","6",13375.6394455848,6837.04689259253,26167.3984965815
"1977","7",7988.33504191673,3600.02118326922,17725.8670139171
"1977","8",8172.8995484811,3576.76700819094,18675.0456142646
"1977","9",4725.4543643175,1808.65222326279,12346.1650957775
"1977","10",6383.08014589243,2641.5787655203,15424.0004805842
"1978","1",116314.225458707,43316.6822329697,312327.684084761
"1978","2",48358.7453079049,20713.775748336,112899.177637505
"1978","3",126763.981656129,64762.1661536789,248124.916130569
"1978","4",235222.203688957,127296.095208512,434651.864361268
"1978","5",86889.6337045911,46767.4895421947,161432.835485138
"1978","6",20577.902769384,10499.0537020678,40332.214159722
"1978","7",9347.89415033623,4180.47998315899,20902.6536182238
"1978","8",5221.92649067199,2094.91799650682,13016.5077198491
"1978","9",5062.15681082565,1950.81638639751,13135.7475547506
"1978","10",5726.49878967269,2303.99839394168,14232.9909926807
"1979","1",159073.991953407,58668.4090933588,431314.489467841
"1979","2",87141.4093519261,36649.5654844319,207195.504870735
"1979","3",26120.6941699896,12865.6486503433,53031.9677200203
"1979","4",65135.6780306389,33962.6834274667,124921.122960498
"1979","5",123177.980068777,68663.1965384431,220974.489082067
"1979","6",59026.1003628425,31571.0402328191,110356.849136144
"1979","7",17493.5811118329,7984.20404307695,38328.8526276615
"1979","8",6599.06947858196,2583.91983281725,16853.3549029158
"1979","9",3501.25975943944,1205.50112477409,10169.0655040801
"1979","10",6058.4449690596,2379.83348450535,15423.2452321145
"1980","1",45239.1018864406,16501.7949482535,124021.43802595
"1980","2",107343.764964909,44308.9172991265,260053.383815558
"1980","3",53622.2328395446,25159.8290305049,114283.123753033
"1980","4",20503.4940151972,9736.95794984616,43175.0110246567
"1980","5",37625.6798249605,18086.0434835782,78275.3720334612
"1980","6",63179.9848518367,31144.9144020763,128165.723441905
"1980","7",33012.5695398171,15067.4663966393,72329.9935723992
"1980","8",10623.3508673522,4159.85217579668,27129.7101150615
"1980","9",4026.59088564784,1333.20562516133,12161.2404376258
"1980","10",5125.0413352325,1839.57159332015,14278.3508851838
"1981","1",201302.838814923,76261.4700831534,531367.056926152
"1981","2",29104.5737988541,12046.418462854,70317.6814440712
"1981","3",66810.5488257326,31411.4879927035,142102.451034235
"1981","4",22514.2243815861,10527.2341729563,48150.3775043374
"1981","5",15310.9702075413,7099.40997960547,33020.4635835449
"1981","6",25693.8791261607,11929.5297622674,55339.6016193249
"1981","7",32821.9700822854,14938.8552146367,72112.7358558871
"1981","8",15479.0731353838,6402.66426247046,37422.1879062126
"1981","9",5955.90202216383,2109.03394568028,16819.4395212417
"1981","10",4556.22476060642,1595.96869643104,13007.262683526
"1982","1",373813.046442925,147686.912036157,946165.044447066
"1982","2",143054.408216063,61947.0519221036,330355.732437137
"1982","3",17009.9463161209,8244.20542151651,35095.9563576827
"1982","4",31623.7050559855,15571.5203092399,64223.5762216838
"1982","5",5766.53442882529,2701.96418621401,12306.9430336978
"1982","6",9673.08485972764,4547.66287702127,20575.0894984502
"1982","7",14781.2075653895,6259.29630506165,34905.5367317327
"1982","8",22921.5012838337,10251.8093104492,51249.0239717273
"1982","9",8062.78570818735,2979.72764449518,21816.9313213067
"1982","10",6268.33213445325,2256.54189218825,17412.4787507119
"1983","1",953285.135384606,397000.870337817,2289044.22444205
"1983","2",298263.680449651,139094.997265866,639571.694338735
"1983","3",99173.6879811822,49976.9254244159,196799.228929434
"1983","4",10542.8024996756,5371.64620130023,20692.1082256424
"1983","5",14297.7713698189,7397.19680044972,27635.6397779202
"1983","6",2571.05553173699,1219.42757055782,5420.84393274096
"1983","7",3718.08932682666,1595.01494378857,8667.12145619546
"1983","8",6798.67411610736,2771.00702793222,16680.5674872358
"1983","9",12036.3237194072,5420.84115692611,26725.2045364332
"1983","10",7279.0929872001,2845.74691996259,18619.0818110425
"1984","1",110910.920359716,42032.5921869826,292659.377283158
"1984","2",891043.872997264,446550.736661495,1777982.02627941
"1984","3",220967.840036444,117948.021369706,413968.676738755
"1984","4",23051.1325605902,11729.3721036989,45301.206887139
"1984","5",4037.63045690838,1987.20229100599,8203.72429135101
"1984","6",7534.86789525885,3664.11483817392,15494.6656167843
"1984","7",1641.40156294119,655.696901852529,4108.90928905399
"1984","8",2119.98962470049,770.877355901522,5830.18293951791
"1984","9",4747.86841677559,1496.47098321204,15063.6094891932
"1984","10",24281.8145497024,12383.8424236659,47610.9512423532
"1985","1",320044.348952976,122958.874415495,833029.627049245
"1985","2",85729.2032059962,37021.4095904877,198520.163430605
"1985","3",799694.82504957,434143.187007556,1473043.53114249
"1985","4",130218.307608511,69078.9990993116,245469.793388969
"1985","5",9248.58546694149,4489.5620673362,19052.2665365606
"1985","6",2387.25059448462,1110.27881543489,5132.91375251083
"1985","7",4988.17483552127,2048.37348608469,12147.1442384697
"1985","8",1133.61882777146,402.523144260775,3192.59069944411
"1985","9",1284.54919332612,401.296479275389,4111.83928913172
"1985","10",20030.8040112561,10024.0084789537,40027.2116867996
"1986","1",133726.558783019,51537.7814595904,346984.135084854
"1986","2",227841.50588244,100282.849170673,517653.339849059
"1986","3",75429.2561434761,38339.2670699594,148400.663788802
"1986","4",571745.051648962,317996.760044372,1027974.00841273
"1986","5",85060.904917191,45512.911419842,158973.73557555
"1986","6",5628.29607112164,2712.82550837748,11677.0196116113
"1986","7",1750.79912100603,720.933600761312,4251.84449563527
"1986","8",2676.02359924719,1043.05563744067,6865.5036669942
"1986","9",709.211333540028,225.765313118691,2227.89191427823
"1986","10",9506.54869138128,4625.06317376144,19540.1586154128
"1987","1",129222.416136085,50220.4054376591,332502.94748767
"1987","2",87069.1270296715,38680.7352189845,195989.885889974
"1987","3",136163.890181854,71202.6535832235,260392.050807283
"1987","4",47079.8599423684,25063.5422040635,88435.7523827443
"1987","5",444369.296267438,258014.311292058,765322.165566622
