"logssb","CV","sdlogssb","logLRP","Lsdlogssb","Hsdlogssb","probLRP","LprobLRP","UprobLRP","ssb","Lssb","Hssb","ratio"
10.675,0.0233673323690734,0.249446273039859,10.598557136595,0.0756350403178365,0.423257505761881,0.62036905902223,0.843915323099178,0.571661593979529,43260.7051650723,37300.2504832146,99169.3933901832,1.0794405130197
10.676,0.0233673323690734,0.249469640372228,10.598557136595,0.075642125567515,0.423297155176941,0.621883012739693,0.847036546435108,0.572581976094195,43303.9875078019,37337.0508834786,99276.327131699,1.08052049343293
10.677,0.0233673323690734,0.249493007704597,10.598557136595,0.0756492108171934,0.423336804592,0.623394814136712,0.85011553513684,0.573501791054371,43347.3131545225,37373.887590991,99383.3761792049,1.08160155436674
10.678,0.0233673323690734,0.249516375036966,10.598557136595,0.0756562960668719,0.42337645400706,0.62490444274928,0.853152345428072,0.574421034244858,43390.68214856,37410.7606415725,99490.5406570344,1.0826836969022
10.679,0.0233673323690734,0.249539742369335,10.598557136595,0.0756633813165504,0.42341610342212,0.626411878223766,0.856147047262702,0.575339701062313,43434.0945332832,37447.6700710792,99597.8206896554,1.08376692212144
10.68,0.0233673323690734,0.249563109701704,10.598557136595,0.0756704665662289,0.423455752837179,0.627917100317651,0.859099724088081,0.576257786915313,43477.5503521046,37484.6159154024,99705.2164016697,1.08485123110769
10.681,0.0233673323690734,0.249586477034073,10.598557136595,0.0756775518159074,0.423495402252239,0.629420088900243,0.862010472602471,0.577175287224416,43521.04964848,37521.5982104691,99812.7279178141,1.08593662494527
10.682,0.0233673323690734,0.249609844366442,10.598557136595,0.0756846370655859,0.423535051667299,0.630920823953373,0.864879402507049,0.578092197422207,43564.5924659086,37558.6169922414,99920.3553629592,1.08702310471956
10.683,0.0233673323690734,0.249633211698811,10.598557136595,0.0756917223152644,0.423574701082358,0.632419285572108,0.867706636252807,0.579008512953378,43608.1788479333,37595.6722967172,100028.09886211,1.08811067151705
10.684,0.0233673323690734,0.24965657903118,10.598557136595,0.0756988075649428,0.423614350497418,0.633915453965435,0.870492308782541,0.57992422927477,43651.8088381405,37632.7641599296,100135.958540408,1.0891993264253
10.685,0.0233673323690734,0.24967994636355,10.598557136595,0.0757058928146213,0.423653999912478,0.635409309456938,0.873236567268318,0.580839341855441,43695.4824801602,37669.8926179477,100243.934523128,1.09028907053297
10.686,0.0233673323690734,0.249703313695919,10.598557136595,0.0757129780642998,0.423693649327537,0.63690083248547,0.875939570844649,0.581753846176714,43739.199817666,37707.0577068756,100352.026935679,1.0913799049298
10.687,0.0233673323690734,0.249726681028288,10.598557136595,0.0757200633139783,0.423733298742597,0.638390003605818,0.878601490337762,0.582667737732248,43782.9608943752,37744.2594628535,100460.235903609,1.09247183070662
10.688,0.0233673323690734,0.249750048360657,10.598557136595,0.0757271485636568,0.423772948157657,0.639876803489359,0.881222507991152,0.583581012028086,43826.7657540491,37781.4979220571,100568.561552597,1.09356484895537
10.689,0.0233673323690734,0.249773415693026,10.598557136595,0.0757342338133353,0.423812597572716,0.641361212924687,0.88380281718778,0.58449366458271,43870.6144404923,37818.7731206977,100677.00400846,1.09465896076905
10.69,0.0233673323690734,0.249796783025395,10.598557136595,0.0757413190630138,0.423852246987776,0.642843212818271,0.886342622169232,0.585405690927107,43914.5069975536,37856.0850950224,100785.563397151,1.09575416724179
10.691,0.0233673323690734,0.249820150357764,10.598557136595,0.0757484043126923,0.423891896402836,0.644322784195063,0.888842137752061,0.586317086604819,43958.4434691256,37893.4338813142,100894.239844756,1.09685046946879
10.692,0.0233673323690734,0.249843517690133,10.598557136595,0.0757554895623707,0.423931545817895,0.645799908199114,0.891301589041641,0.587227847171994,44002.4238991447,37930.8195158916,101003.033477501,1.09794786854635
10.693,0.0233673323690734,0.249866885022502,10.598557136595,0.0757625748120492,0.423971195232955,0.647274566094192,0.893721211143852,0.588137968197453,44046.4483315913,37968.2420351091,101111.944421745,1.09904636557186
10.694,0.0233673323690734,0.249890252354871,10.598557136595,0.0757696600617277,0.424010844648015,0.648746739264369,0.896101248874818,0.589047445262735,44090.5168104899,38005.7014753571,101220.972803984,1.10014596164384
10.695,0.0233673323690734,0.24991361968724,10.598557136595,0.0757767453114062,0.424050494063074,0.650216409214614,0.898441956469024,0.589956273962158,44134.6293799092,38043.1978730621,101330.118750851,1.10124665786187
10.696,0.0233673323690734,0.249936987019609,10.598557136595,0.0757838305610847,0.424090143478134,0.651683557571363,0.900743597286065,0.590864449902865,44178.7860839613,38080.7312646859,101439.382389115,1.10234845532665
10.697,0.0233673323690734,0.249960354351978,10.598557136595,0.0757909158107632,0.424129792893194,0.653148166083099,0.903006443516346,0.591771968704889,44222.9869668033,38118.3016867268,101548.763845683,1.10345135513997
10.698,0.0233673323690734,0.249983721684348,10.598557136595,0.0757980010604417,0.424169442308253,0.654610216620909,0.905230775885944,0.592678826001199,44267.232072636,38155.9091757191,101658.263247596,1.10455535840474
10.699,0.0233673323690734,0.250007089016717,10.598557136595,0.0758050863101201,0.424209091723313,0.656069691179021,0.907416883360926,0.593585017437749,44311.5214457043,38193.5537682329,101767.880722035,1.10566046622496
10.7,0.0233673323690734,0.250030456349086,10.598557136595,0.0758121715597986,0.424248741138373,0.657526571875367,0.909565062851423,0.594490538673544,44355.8551302978,38231.2355008746,101877.616396317,1.10676667970575
10.701,0.0233673323690734,0.250053823681455,10.598557136595,0.0758192568094771,0.424288390553432,0.658980840952098,0.911675618915655,0.59539538538068,44400.2331707502,38268.9544102866,101987.470397895,1.1078739999533
10.702,0.0233673323690734,0.250077191013824,10.598557136595,0.0758263420591556,0.424328039968492,0.660432480776106,0.913748863464178,0.5962995532444,44444.6556114394,38306.7105331474,102097.442854361,1.10898242807494
10.703,0.0233673323690734,0.250100558346193,10.598557136595,0.0758334273088341,0.424367689383552,0.661881473839548,0.915785115464654,0.597203037963146,44489.122496788,38344.5039061718,102207.533893445,1.11009196517911
10.704,0.0233673323690734,0.250123925678562,10.598557136595,0.0758405125585126,0.424407338798611,0.663327802760339,0.917784700647313,0.598105835248612,44533.6338712628,38382.3345661109,102317.743643013,1.11120261237533
10.705,0.0233673323690734,0.250147293010931,10.598557136595,0.0758475978081911,0.424446988213671,0.664771450282643,0.919747951211369,0.599007940825787,44578.1897793751,38420.2025497518,102428.07223107,1.11231437077426
10.706,0.0233673323690734,0.2501706603433,10.598557136595,0.0758546830578695,0.424486637628731,0.666212399277367,0.921675205532671,0.599909350433016,44622.7902656809,38458.1078939182,102538.519785759,1.11342724148765
10.707,0.0233673323690734,0.250194027675669,10.598557136595,0.075861768307548,0.42452628704379,0.667650632742632,0.923566807872733,0.600810059822042,44667.4353747807,38496.0506354698,102649.086435361,1.11454122562838
10.708,0.0233673323690734,0.250217395008038,10.598557136595,0.0758688535572265,0.42456593645885,0.669086133804227,0.925423108089415,0.601710064758055,44712.1251513196,38534.0308113028,102759.772308295,1.11565632431042
10.709,0.0233673323690734,0.250240762340407,10.598557136595,0.075875938806905,0.42460558587391,0.670518885716082,0.927244461349477,0.602609361019749,44756.8596399873,38572.04845835,102870.577533119,1.11677253864888
10.71,0.0233673323690734,0.250264129672776,10.598557136595,0.0758830240565835,0.424645235288969,0.671948871860703,0.929031227843171,0.603507944399365,44801.6388855186,38610.1036135804,102981.502238529,1.11788986975998
10.711,0.0233673323690734,0.250287497005145,10.598557136595,0.075890109306262,0.424684884704029,0.673376075749604,0.930783772501102,0.604405810702733,44846.4629326923,38648.1963139995,103092.546553361,1.11900831876104
10.712,0.0233673323690734,0.250310864337515,10.598557136595,0.0758971945559404,0.424724534119089,0.674800481023748,0.932502464713566,0.605302955749335,44891.3318263327,38686.3265966494,103203.710606588,1.1201278867705
10.713,0.0233673323690734,0.250334231669884,10.598557136595,0.075904279805619,0.424764183534148,0.676222071453954,0.934187678052512,0.606199375372343,44936.2456113088,38724.4944986088,103314.994527325,1.12124857490795
10.714,0.0233673323690734,0.250357599002253,10.598557136595,0.0759113650552974,0.424803832949208,0.6776408309413,0.93583978999634,0.607095065418661,44981.2043325341,38762.7000569927,103426.398444822,1.12237038429407
