"Estimate","Low","High","year","logEstimate","logLow","logHigh","logsd","LRP","logLRP","ratio","prob"
26052.5510916851,13109.322666548,51775.0181034787,2016,10.1678709729695,9.48107891001862,10.8546630359205,0.343396031475467,40348.1536040527,10.6053009131481,0.65,10.1360920028281
37586.5329759243,18704.879818297,75528.2832541003,2017,10.5344010996875,9.83653972165051,11.2322624777244,0.348930689018474,40348.1536040527,10.6053009131481,0.93,41.9492607174816
39133.3389046055,19215.3652399882,79697.5854841284,2018,10.5747300400744,9.86346551088429,11.2859945692646,0.355632264595064,40348.1536040527,10.6053009131481,0.97,46.5748298690721
28092.2819577734,14723.9861320198,53598.0065804897,2019,10.2432501541705,9.59723315263619,10.8892671557048,0.323008500767152,40348.1536040527,10.6053009131481,0.7,13.1171455735934
18973.6902770667,11184.5851016526,32187.2397999692,2020,9.85080857627509,9.32229177906122,10.379325373489,0.264258398606935,40348.1536040527,10.6053009131481,0.47,0.215095426061274
11494.8840386128,8367.42068653363,15791.2890974643,2021,9.34965734916143,9.03210095428748,9.66721374403538,0.158778197436975,40348.1536040527,10.6053009131481,0.28,1.33226762955019e-13
11751.5704019294,6739.14681730022,20492.1202424298,2022,9.37174216186981,8.81568861092351,9.92779571281612,0.278026775473154,40348.1536040527,10.6053009131481,0.29,0.000456457426423196
16195.0707729411,8378.15532042989,31305.258414225,2023,9.69246220164473,9.03338304041724,10.3515413628722,0.329539580613745,40348.1536040527,10.6053009131481,0.4,0.280244716378053
18550.1486257516,8451.90896651359,40713.6441484199,2024,9.82823308017338,9.04214760803355,10.6143185523132,0.393042736069916,40348.1536040527,10.6053009131481,0.46,2.40176023550284
21061.9202159116,8388.4932583,52882.4986230397,2025,9.95522195987486,9.03461619552652,10.8758277242232,0.46030288217417,40348.1536040527,10.6053009131481,0.52,7.89329995185387
